tag	bash	psh	same
p11s1_case	N	N	Y
p11s1_rem	[a][a][a][a]	[a][a][a][a]	Y
p11s1_sub	[Za][Za][Za][aZ]	[Za][Za][Za][aZ]	Y
p11s2_dbr	N	N	Y
p11s2_case	N	N	Y
p11s2_rem	[b][b][b][b]	[b][b][b][b]	Y
p11s2_sub	[Zb][Zb][Zb][bZ]	[Zb][Zb][Zb][bZ]	Y
p11s3_dbr	N	N	Y
p11s3_case	N	N	Y
p11s3_rem	[ab][ab][ab][ab]	[ab][ab][ab][ab]	Y
p11s3_sub	[Zab][ZaZb][Zab][abZ]	[Zab][ZaZb][Zab][abZ]	Y
p11s4_dbr	N	N	Y
p11s4_case	N	N	Y
p11s4_rem	[aa][aa][aa][aa]	[aa][aa][aa][aa]	Y
p11s4_sub	[Zaa][ZaZa][Zaa][aaZ]	[Zaa][ZaZa][Zaa][aaZ]	Y
p12s0_dbr	Y	Y	Y
p12s0_case	Y	Y	Y
p12s0_rem	[][][][]	[][][][]	Y
p12s0_sub	[][][][Z]	[][][][Z]	Y
p12s1_dbr	Y	Y	Y
p12s1_case	Y	Y	Y
p12s1_rem	[a][][a][]	[a][][a][]	Y
p12s1_sub	[Z][Z][Z][Z]	[Z][Z][Z][Z]	Y
p12s2_dbr	Y	Y	Y
p12s2_case	Y	Y	Y
p12s2_rem	[b][][b][]	[b][][b][]	Y
p12s2_sub	[Z][Z][Z][Z]	[Z][Z][Z][Z]	Y
p12s3_dbr	Y	Y	Y
p12s3_case	Y	Y	Y
p12s3_rem	[ab][][ab][]	[ab][][ab][]	Y
p12s3_sub	[Z][Z][Z][Z]	[Z][Z][Z][Z]	Y
p12s4_dbr	Y	Y	Y
p12s4_case	Y	Y	Y
p12s4_rem	[aa][][aa][]	[aa][][aa][]	Y
p12s4_sub	[Z][Z][Z][Z]	[Z][Z][Z][Z]	Y
p13s0_dbr	Y	Y	Y
p13s0_case	Y	Y	Y
p13s0_rem	[][][][]	[][][][]	Y
p13s0_sub	[][][][]	[][][][]	Y
p13s1_dbr	Y	Y	Y
p13s1_case	Y	Y	Y
p13s1_rem	[a][][a][]	[a][][a][]	Y
p13s1_sub	[Z][Z][Z][Z]	[Z][Z][Z][Z]	Y
p13s2_dbr	N	N	Y
p13s2_case	N	N	Y
p13s2_rem	[b][b][b][b]	[b][b][b][b]	Y
p13s2_sub	[Zb][Zb][Zb][b]	[Zb][Zb][Zb][b]	Y
p13s3_dbr	N	N	Y
p13s3_case	N	N	Y
p13s3_rem	[ab][b][ab][ab]	[ab][b][ab][ab]	Y
p13s3_sub	[Zb][ZZb][Zb][ab]	[Zb][ZZb][Zb][ab]	Y
p13s4_dbr	N	N	Y
p13s4_case	N	N	Y
p13s4_rem	[aa][a][aa][a]	[aa][a][aa][a]	Y
p13s4_sub	[Za][ZZ][Za][aZ]	[Za][ZZ][Za][aZ]	Y
q1	1	0	DIFF
q2	0	0	Y
q3	1	0	DIFF
q4	0	0	Y
q5	1	1	Y
q6	0	0	Y
q7	[Za]	[Za]	Y
q8	0	0	Y
q9	1	1	Y
off1	[]	[]	Y
off2	[ab]	[ab]	Y
off3	[a]	[a]	Y
off4	0	0	Y
off5	1	1	Y
